#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1951-10-07 00:00:00,17.53,200,5,
1951-10-10 00:00:00,0,200,5,
1951-10-11 00:00:00,0.51,200,5,
1951-10-12 00:00:00,0,200,5,
1951-10-13 00:00:00,1.78,200,5,
1951-10-16 00:00:00,0,200,5,
1951-10-17 00:00:00,0.51,200,5,
1951-10-18 00:00:00,0,200,5,
1951-10-19 00:00:00,11.68,200,5,
1951-10-23 00:00:00,0,200,5,
1951-10-24 00:00:00,0.25,200,5,
1951-10-25 00:00:00,5.84,200,5,
1951-10-26 00:00:00,4.06,200,5,
1951-10-27 00:00:00,15.24,200,5,
1951-10-28 00:00:00,1.78,200,5,
1951-10-29 00:00:00,2.29,200,5,
1951-10-30 00:00:00,0,200,5,
1951-10-31 00:00:00,0.76,200,5,
1951-11-01 00:00:00,0.51,200,5,
1951-11-02 00:00:00,10.67,200,5,
1951-11-03 00:00:00,11.43,200,5,
1951-11-04 00:00:00,0,200,5,
1951-11-05 00:00:00,1.02,200,5,
1951-11-08 00:00:00,0,200,5,
1951-11-09 00:00:00,0.51,200,5,
1951-11-11 00:00:00,0,200,5,
1951-11-12 00:00:00,3.81,200,5,
1951-11-13 00:00:00,65.02,200,5,
1951-11-14 00:00:00,0,200,5,
1951-11-15 00:00:00,2.54,200,5,
1951-11-16 00:00:00,0,200,5,
1951-11-17 00:00:00,10.92,200,5,
1951-11-18 00:00:00,0,200,5,
1951-11-19 00:00:00,0.25,200,5,
1951-11-20 00:00:00,3.05,200,5,
1951-11-21 00:00:00,0,200,5,
1951-11-22 00:00:00,1.27,200,5,
1951-11-23 00:00:00,5.33,200,5,
1951-11-24 00:00:00,0,200,5,
1951-11-25 00:00:00,6.1,200,5,
1951-11-26 00:00:00,0.25,200,5,
1951-11-29 00:00:00,0,200,5,
1951-11-30 00:00:00,8.89,200,5,
1951-12-02 00:00:00,0,200,5,
1951-12-03 00:00:00,0.76,200,5,
1951-12-04 00:00:00,8.13,200,5,
1951-12-05 00:00:00,1.52,200,5,
1951-12-06 00:00:00,1.27,200,5,
1951-12-07 00:00:00,0,200,5,
1951-12-08 00:00:00,1.52,200,5,
1951-12-09 00:00:00,2.03,200,5,
1951-12-11 00:00:00,0,200,5,
1951-12-12 00:00:00,8.89,200,5,
1951-12-13 00:00:00,0,200,5,
1951-12-14 00:00:00,2.29,200,5,
1951-12-15 00:00:00,0.25,200,5,
1951-12-16 00:00:00,1.78,200,5,
1951-12-17 00:00:00,1.02,200,5,
1951-12-18 00:00:00,4.06,200,5,
1951-12-19 00:00:00,5.08,200,5,
1951-12-22 00:00:00,0,200,5,
1951-12-23 00:00:00,12.45,200,5,
1951-12-24 00:00:00,1.52,200,5,
1951-12-25 00:00:00,0.51,200,5,
1952-01-01 00:00:00,0,200,5,
1952-01-02 00:00:00,4.83,200,5,
1952-01-03 00:00:00,0,200,5,
1952-01-04 00:00:00,0.25,200,5,
1952-01-05 00:00:00,0,200,5,
1952-01-06 00:00:00,0.25,200,5,
1952-01-07 00:00:00,5.59,200,5,
1952-01-08 00:00:00,0,200,5,
1952-01-09 00:00:00,12.7,200,5,
1952-01-10 00:00:00,0.25,200,5,
1952-01-12 00:00:00,0,200,5,
1952-01-13 00:00:00,1.78,200,5,
1952-01-14 00:00:00,6.1,200,5,
1952-01-15 00:00:00,0.51,200,5,
1952-01-16 00:00:00,0,200,5,
1952-01-17 00:00:00,3.05,200,5,
1952-01-18 00:00:00,0,200,5,
1952-01-19 00:00:00,0.51,200,5,
1952-01-21 00:00:00,0,200,5,
1952-01-22 00:00:00,0.51,200,5,
1952-01-28 00:00:00,0,200,5,
1952-01-29 00:00:00,2.29,200,5,
1952-01-30 00:00:00,0.25,200,5,
1952-02-02 00:00:00,0,200,5,
1952-02-03 00:00:00,1.52,200,5,
1952-02-04 00:00:00,16.51,200,5,
1952-02-08 00:00:00,0,200,5,
1952-02-09 00:00:00,2.54,200,5,
1952-02-11 00:00:00,0,200,5,
1952-02-12 00:00:00,2.29,200,5,
1952-02-14 00:00:00,0,200,5,
1952-02-15 00:00:00,10.92,200,5,
1952-02-16 00:00:00,0.51,200,5,
1952-02-17 00:00:00,26.42,200,5,
1952-02-18 00:00:00,15.75,200,5,
1952-02-19 00:00:00,24.89,200,5,
1952-02-20 00:00:00,41.4,200,5,
1952-02-27 00:00:00,0,200,5,
1952-02-28 00:00:00,0.51,200,5,
1952-03-06 00:00:00,0,200,5,
1952-03-13 00:00:00,0,200,5,
1952-03-16 00:00:00,0,200,5,
1952-03-17 00:00:00,0.25,200,5,
1952-03-18 00:00:00,1.27,200,5,
1952-03-19 00:00:00,0.76,200,5,
1952-03-20 00:00:00,0.51,200,5,
1952-03-21 00:00:00,0.25,200,5,
1952-03-25 00:00:00,0,200,5,
1952-03-26 00:00:00,5.59,200,5,
1952-03-27 00:00:00,0,200,5,
1952-03-28 00:00:00,6.1,200,5,
1952-03-29 00:00:00,8.13,200,5,
1952-04-05 00:00:00,0,200,5,
1952-04-12 00:00:00,0,200,5,
1952-04-14 00:00:00,0,200,5,
1952-04-15 00:00:00,1.02,200,5,
1952-04-16 00:00:00,0.25,200,5,
1952-04-17 00:00:00,2.29,200,5,
1952-04-18 00:00:00,0,200,5,
1952-04-19 00:00:00,1.02,200,5,
1952-04-20 00:00:00,5.59,200,5,
1952-04-21 00:00:00,14.73,200,5,
1952-04-22 00:00:00,3.05,200,5,
1952-04-24 00:00:00,0,200,5,
1952-04-25 00:00:00,6.1,200,5,
1952-04-26 00:00:00,6.1,200,5,
1952-04-27 00:00:00,2.03,200,5,
1952-04-28 00:00:00,0.51,200,5,
1952-04-29 00:00:00,1.52,200,5,
1952-04-30 00:00:00,0.76,200,5,
1952-05-01 00:00:00,13.21,200,5,
1952-05-02 00:00:00,4.57,200,5,
1952-05-03 00:00:00,11.68,200,5,
1952-05-04 00:00:00,0,200,5,
1952-05-05 00:00:00,1.02,200,5,
1952-05-10 00:00:00,0,200,5,
1952-05-11 00:00:00,5.33,200,5,
1952-05-13 00:00:00,0,200,5,
1952-05-14 00:00:00,0.25,200,5,
1952-05-18 00:00:00,0,200,5,
1952-05-19 00:00:00,15.75,200,5,
1952-05-20 00:00:00,0.51,200,5,
1952-05-21 00:00:00,0,200,5,
1952-05-22 00:00:00,10.67,200,5,
1952-05-23 00:00:00,11.68,200,5,
1952-05-24 00:00:00,6.35,200,5,
1952-05-25 00:00:00,0.25,200,5,
1952-05-26 00:00:00,9.4,200,5,
1952-05-27 00:00:00,1.02,200,5,
1952-05-28 00:00:00,0,200,5,
1952-05-29 00:00:00,11.18,200,5,
1952-05-30 00:00:00,0,200,5,
1952-05-31 00:00:00,8.64,200,5,
1952-06-01 00:00:00,4.06,200,5,
1952-06-02 00:00:00,16.76,200,5,
1952-06-03 00:00:00,4.06,200,5,
1952-06-04 00:00:00,2.03,200,5,
1952-06-05 00:00:00,8.64,200,5,
1952-06-06 00:00:00,9.91,200,5,
1952-06-07 00:00:00,0.25,200,5,
1952-06-08 00:00:00,0.76,200,5,
1952-06-09 00:00:00,4.32,200,5,
1952-06-10 00:00:00,2.79,200,5,
1952-06-11 00:00:00,15.24,200,5,
1952-06-12 00:00:00,7.11,200,5,
1952-06-13 00:00:00,11.94,200,5,
1952-06-14 00:00:00,2.29,200,5,
1952-06-15 00:00:00,0.51,200,5,
1952-06-16 00:00:00,0.25,200,5,
1952-06-17 00:00:00,0,200,5,
1952-06-18 00:00:00,14.48,200,5,
1952-06-19 00:00:00,1.78,200,5,
1952-06-20 00:00:00,8.38,200,5,
1952-06-21 00:00:00,4.32,200,5,
1952-06-22 00:00:00,13.46,200,5,
1952-06-23 00:00:00,0.25,200,5,
1952-06-24 00:00:00,7.62,200,5,
1952-06-25 00:00:00,0,200,5,
1952-06-26 00:00:00,2.29,200,5,
1952-06-27 00:00:00,0.25,200,5,
1952-06-28 00:00:00,7.87,200,5,
1952-06-29 00:00:00,4.32,200,5,
1952-06-30 00:00:00,1.78,200,5,
1952-07-01 00:00:00,2.03,200,5,
1952-07-02 00:00:00,1.78,200,5,
1952-07-03 00:00:00,4.32,200,5,
1952-07-05 00:00:00,0,200,5,
1952-07-06 00:00:00,55.12,200,5,
1952-07-07 00:00:00,4.57,200,5,
1952-07-08 00:00:00,10.16,200,5,
1952-07-11 00:00:00,0,200,5,
1952-07-12 00:00:00,0.25,200,5,
1952-07-19 00:00:00,0,200,5,
1952-07-20 00:00:00,22.61,200,5,
1952-07-21 00:00:00,0.51,200,5,
1952-07-27 00:00:00,0,200,5,
1952-07-28 00:00:00,0.51,200,5,
1952-08-01 00:00:00,0,200,5,
1952-08-02 00:00:00,0.25,200,5,
1952-08-03 00:00:00,0,200,5,
1952-08-04 00:00:00,0.76,200,5,
1952-08-05 00:00:00,29.46,200,5,
1952-08-06 00:00:00,1.02,200,5,
1952-08-07 00:00:00,0.76,200,5,
1952-08-08 00:00:00,0,200,5,
1952-08-09 00:00:00,42.16,200,5,
1952-08-10 00:00:00,21.59,200,5,
1952-08-11 00:00:00,6.35,200,5,
1952-08-12 00:00:00,2.54,200,5,
1952-08-13 00:00:00,0,200,5,
1952-08-14 00:00:00,2.54,200,5,
1952-08-15 00:00:00,0.25,200,5,
1952-08-21 00:00:00,0,200,5,
1952-08-22 00:00:00,0.51,200,5,
1952-08-23 00:00:00,0.25,200,5,
1952-08-27 00:00:00,0,200,5,
1952-08-28 00:00:00,37.59,200,5,
1952-08-29 00:00:00,20.32,200,5,
1952-08-30 00:00:00,6.1,200,5,
1952-09-06 00:00:00,0,200,5,
1952-09-07 00:00:00,13.21,200,5,
1952-09-08 00:00:00,3.81,200,5,
1952-09-09 00:00:00,11.18,200,5,
1952-09-11 00:00:00,0,200,5,
1952-09-12 00:00:00,10.41,200,5,
1952-09-13 00:00:00,19.3,200,5,
1952-09-14 00:00:00,4.06,200,5,
1952-09-15 00:00:00,30.99,200,5,
1952-09-18 00:00:00,0,200,5,
1952-09-19 00:00:00,3.56,200,5,
1952-09-20 00:00:00,4.32,200,5,
1952-09-23 00:00:00,0,200,5,
1952-09-24 00:00:00,7.62,200,5,
1952-09-25 00:00:00,3.56,200,5,
1952-09-26 00:00:00,0.76,200,5,
1952-10-03 00:00:00,0,200,5,
1952-10-04 00:00:00,0,200,5,
1952-10-05 00:00:00,22.86,200,5,
1952-10-06 00:00:00,0,200,5,
1952-10-07 00:00:00,2.54,200,5,
1952-10-08 00:00:00,13.46,200,5,
1952-10-09 00:00:00,6.1,200,5,
1952-10-14 00:00:00,0,200,5,
1952-10-15 00:00:00,6.6,200,5,
1952-10-16 00:00:00,0.51,200,5,
1952-10-19 00:00:00,0,200,5,
1952-10-20 00:00:00,8.89,200,5,
1952-10-21 00:00:00,0,200,5,
1952-10-22 00:00:00,1.02,200,5,
1952-10-23 00:00:00,0.25,200,5,
1952-10-27 00:00:00,0,200,5,
1952-10-28 00:00:00,2.29,200,5,
1952-10-29 00:00:00,5.33,200,5,
1952-10-30 00:00:00,1.78,200,5,
1952-10-31 00:00:00,18.8,200,5,
1952-11-01 00:00:00,9.14,200,5,
1952-11-02 00:00:00,19.56,200,5,
1952-11-03 00:00:00,0.51,200,5,
1952-11-04 00:00:00,2.54,200,5,
1952-11-05 00:00:00,0,200,5,
1952-11-06 00:00:00,11.18,200,5,
1952-11-07 00:00:00,28.45,200,5,
1952-11-08 00:00:00,6.6,200,5,
1952-11-09 00:00:00,3.81,200,5,
1952-11-10 00:00:00,2.79,200,5,
1952-11-11 00:00:00,1.52,200,5,
1952-11-13 00:00:00,0,200,5,
1952-11-14 00:00:00,22.1,200,5,
1952-11-15 00:00:00,1.02,200,5,
1952-11-17 00:00:00,0,200,5,
1952-11-18 00:00:00,4.83,200,5,
1952-11-19 00:00:00,2.03,200,5,
1952-11-20 00:00:00,2.29,200,5,
1952-11-21 00:00:00,0,200,5,
1952-11-22 00:00:00,17.27,200,5,
1952-11-24 00:00:00,0,200,5,
1952-11-25 00:00:00,6.35,200,5,
1952-11-26 00:00:00,12.19,200,5,
1952-11-27 00:00:00,10.16,200,5,
1952-11-28 00:00:00,16.51,200,5,
1952-11-29 00:00:00,0.51,200,5,
1952-11-30 00:00:00,0,200,5,
1952-12-01 00:00:00,6.35,200,5,
1952-12-02 00:00:00,2.03,200,5,
1952-12-03 00:00:00,0,200,5,
1952-12-04 00:00:00,0.51,200,5,
1952-12-05 00:00:00,24.89,200,5,
1952-12-06 00:00:00,0.51,200,5,
1952-12-07 00:00:00,2.29,200,5,
1952-12-08 00:00:00,0.76,200,5,
1952-12-09 00:00:00,1.52,200,5,
1952-12-10 00:00:00,5.59,200,5,
1952-12-14 00:00:00,0,200,5,
1952-12-15 00:00:00,13.72,200,5,
1952-12-16 00:00:00,1.52,200,5,
1952-12-20 00:00:00,0,200,5,
1952-12-21 00:00:00,36.07,200,5,
1952-12-22 00:00:00,0,200,5,
1952-12-23 00:00:00,2.79,200,5,
1952-12-24 00:00:00,0.25,200,5,
1952-12-30 00:00:00,0,200,5,
1952-12-31 00:00:00,0.51,200,5,
1953-01-03 00:00:00,0,200,5,
1953-01-04 00:00:00,7.62,200,5,
1953-01-05 00:00:00,0.76,200,5,
1953-01-09 00:00:00,0,200,5,
1953-01-10 00:00:00,3.3,200,5,
1953-01-11 00:00:00,6.35,200,5,
1953-01-12 00:00:00,4.83,200,5,
1953-01-13 00:00:00,0,200,5,
1953-01-14 00:00:00,4.32,200,5,
1953-01-15 00:00:00,12.19,200,5,
1953-01-22 00:00:00,0,200,5,
1953-01-23 00:00:00,8.38,200,5,
1953-01-24 00:00:00,3.56,200,5,
1953-01-25 00:00:00,7.37,200,5,
1953-01-26 00:00:00,12.45,200,5,
1953-01-29 00:00:00,0,200,5,
1953-01-30 00:00:00,4.57,200,5,
1953-02-01 00:00:00,0,200,5,
1953-02-02 00:00:00,0.76,200,5,
1953-02-08 00:00:00,0,200,5,
1953-02-09 00:00:00,19.56,200,5,
1953-02-10 00:00:00,2.03,200,5,
1953-02-11 00:00:00,3.3,200,5,
1953-02-12 00:00:00,7.11,200,5,
1953-02-13 00:00:00,4.83,200,5,
1953-02-14 00:00:00,1.02,200,5,
1953-02-15 00:00:00,0.25,200,5,
1953-02-18 00:00:00,0,200,5,
1953-02-19 00:00:00,3.05,200,5,
1953-02-26 00:00:00,0,200,5,
1953-03-02 00:00:00,0,200,5,
1953-03-03 00:00:00,0.25,200,5,
1953-03-04 00:00:00,4.83,200,5,
1953-03-05 00:00:00,2.29,200,5,
1953-03-12 00:00:00,0,200,5,
1953-03-13 00:00:00,0.76,200,5,
1953-03-14 00:00:00,1.02,200,5,
1953-03-15 00:00:00,0,200,5,
1953-03-16 00:00:00,0.51,200,5,
1953-03-21 00:00:00,0,200,5,
1953-03-22 00:00:00,13.46,200,5,
1953-03-27 00:00:00,0,200,5,
1953-03-28 00:00:00,3.3,200,5,
1953-03-29 00:00:00,17.78,200,5,
1953-03-30 00:00:00,5.59,200,5,
1953-04-01 00:00:00,0,200,5,
1953-04-02 00:00:00,28.45,200,5,
1953-04-03 00:00:00,3.81,200,5,
1953-04-04 00:00:00,1.27,200,5,
1953-04-05 00:00:00,51.56,200,5,
1953-04-06 00:00:00,5.33,200,5,
1953-04-07 00:00:00,10.92,200,5,
1953-04-08 00:00:00,4.83,200,5,
1953-04-09 00:00:00,1.78,200,5,
1953-04-10 00:00:00,3.05,200,5,
1953-04-11 00:00:00,1.52,200,5,
1953-04-12 00:00:00,0.51,200,5,
1953-04-13 00:00:00,0.51,200,5,
1953-04-14 00:00:00,0.25,200,5,
1953-04-18 00:00:00,0,200,5,
1953-04-19 00:00:00,0.51,200,5,
1953-04-20 00:00:00,1.27,200,5,
1953-04-21 00:00:00,12.95,200,5,
1953-04-22 00:00:00,0,200,5,
1953-04-23 00:00:00,1.02,200,5,
1953-04-24 00:00:00,0.25,200,5,
1953-04-25 00:00:00,0,200,5,
1953-04-26 00:00:00,5.33,200,5,
1953-04-28 00:00:00,0,200,5,
1953-04-29 00:00:00,0.25,200,5,
1953-04-30 00:00:00,2.79,200,5,
1953-05-01 00:00:00,71.88,200,5,
1953-05-02 00:00:00,46.74,200,5,
1953-05-08 00:00:00,0,200,5,
1953-05-09 00:00:00,12.95,200,5,
1953-05-10 00:00:00,0.76,200,5,
1953-05-11 00:00:00,1.78,200,5,
1953-05-13 00:00:00,0,200,5,
1953-05-14 00:00:00,17.78,200,5,
1953-05-15 00:00:00,10.41,200,5,
1953-05-16 00:00:00,23.37,200,5,
1953-05-17 00:00:00,5.59,200,5,
1953-05-21 00:00:00,0,200,5,
1953-05-22 00:00:00,1.27,200,5,
1953-05-23 00:00:00,0,200,5,
1953-05-24 00:00:00,13.72,200,5,
1953-05-25 00:00:00,0,200,5,
1953-05-26 00:00:00,0.76,200,5,
1953-05-27 00:00:00,23.11,200,5,
1953-05-28 00:00:00,18.8,200,5,
1953-05-29 00:00:00,6.86,200,5,
1953-05-30 00:00:00,0.76,200,5,
1953-05-31 00:00:00,2.29,200,5,
1953-06-01 00:00:00,0.76,200,5,
1953-06-02 00:00:00,0,200,5,
1953-06-03 00:00:00,3.05,200,5,
1953-06-04 00:00:00,2.54,200,5,
1953-06-05 00:00:00,3.56,200,5,
1953-06-06 00:00:00,1.78,200,5,
1953-06-07 00:00:00,14.73,200,5,
1953-06-08 00:00:00,0,200,5,
1953-06-09 00:00:00,36.07,200,5,
1953-06-10 00:00:00,13.21,200,5,
1953-06-12 00:00:00,0,200,5,
1953-06-13 00:00:00,2.03,200,5,
1953-06-14 00:00:00,34.8,200,5,
1953-06-15 00:00:00,7.37,200,5,
1953-06-17 00:00:00,0,200,5,
1953-06-18 00:00:00,17.27,200,5,
1953-06-19 00:00:00,1.02,200,5,
1953-06-21 00:00:00,0,200,5,
1953-06-22 00:00:00,2.54,200,5,
1953-06-24 00:00:00,0,200,5,
1953-06-25 00:00:00,13.97,200,5,
1953-06-26 00:00:00,11.68,200,5,
1953-06-27 00:00:00,2.54,200,5,
1953-06-28 00:00:00,7.11,200,5,
1953-06-29 00:00:00,2.79,200,5,
1953-06-30 00:00:00,1.78,200,5,
1953-07-01 00:00:00,0.76,200,5,
1953-07-02 00:00:00,0,200,5,
1953-07-03 00:00:00,10.67,200,5,
1953-07-04 00:00:00,15.24,200,5,
1953-07-05 00:00:00,74.42,200,5,
1953-07-06 00:00:00,0.25,200,5,
1953-07-07 00:00:00,6.86,200,5,
1953-07-09 00:00:00,0,200,5,
1953-07-10 00:00:00,27.94,200,5,
1953-07-11 00:00:00,9.91,200,5,
1953-07-12 00:00:00,4.57,200,5,
1953-07-17 00:00:00,0,200,5,
1953-07-18 00:00:00,6.86,200,5,
1953-07-19 00:00:00,3.05,200,5,
1953-07-20 00:00:00,0.76,200,5,
1953-07-21 00:00:00,8.13,200,5,
1953-07-22 00:00:00,3.56,200,5,
1953-07-23 00:00:00,0,200,5,
1953-07-24 00:00:00,8.13,200,5,
1953-07-25 00:00:00,7.11,200,5,
1953-07-26 00:00:00,3.56,200,5,
1953-07-27 00:00:00,1.52,200,5,
1953-08-03 00:00:00,0,200,5,
1953-08-04 00:00:00,5.33,200,5,
1953-08-05 00:00:00,18.03,200,5,
1953-08-07 00:00:00,0,200,5,
1953-08-08 00:00:00,6.1,200,5,
1953-08-09 00:00:00,9.91,200,5,
1953-08-10 00:00:00,0.25,200,5,
1953-08-11 00:00:00,1.27,200,5,
1953-08-12 00:00:00,0,200,5,
1953-08-13 00:00:00,11.68,200,5,
1953-08-14 00:00:00,32,200,5,
1953-08-15 00:00:00,10.67,200,5,
1953-08-16 00:00:00,5.84,200,5,
1953-08-17 00:00:00,0,200,5,
1953-08-18 00:00:00,19.05,200,5,
1953-08-19 00:00:00,1.27,200,5,
1953-08-20 00:00:00,0,200,5,
1953-08-21 00:00:00,0.76,200,5,
1953-08-25 00:00:00,0,200,5,
1953-08-26 00:00:00,39.62,200,5,
1953-08-27 00:00:00,37.85,200,5,
1953-08-28 00:00:00,4.83,200,5,
1953-08-30 00:00:00,0,200,5,
1953-08-31 00:00:00,0.51,200,5,
1953-09-01 00:00:00,19.3,200,5,
1953-09-02 00:00:00,2.54,200,5,
1953-09-04 00:00:00,0,200,5,
1953-09-05 00:00:00,2.54,200,5,
1953-09-06 00:00:00,1.02,200,5,
1953-09-07 00:00:00,2.03,200,5,
1953-09-08 00:00:00,6.1,200,5,
1953-09-10 00:00:00,0,200,5,
1953-09-11 00:00:00,0.51,200,5,
1953-09-12 00:00:00,2.03,200,5,
1953-09-13 00:00:00,3.56,200,5,
1953-09-14 00:00:00,2.54,200,5,
1953-09-15 00:00:00,0,200,5,
1953-09-16 00:00:00,0.25,200,5,
1953-09-17 00:00:00,2.29,200,5,
1953-09-21 00:00:00,0,200,5,
1953-09-22 00:00:00,0.76,200,5,
1953-09-23 00:00:00,1.27,200,5,
1953-09-24 00:00:00,2.54,200,5,
1953-09-25 00:00:00,2.79,200,5,
1953-09-28 00:00:00,0,200,5,
1953-09-29 00:00:00,1.02,200,5,
1953-09-30 00:00:00,0.76,200,5,
1953-10-01 00:00:00,0.25,200,5,
1953-10-02 00:00:00,0.76,200,5,
1953-10-03 00:00:00,3.3,200,5,
1953-10-04 00:00:00,3.3,200,5,
1953-10-05 00:00:00,1.02,200,5,
1953-10-06 00:00:00,0,200,5,
1953-10-07 00:00:00,7.11,200,5,
1953-10-08 00:00:00,1.52,200,5,
1953-10-09 00:00:00,12.7,200,5,
1953-10-10 00:00:00,5.08,200,5,
1953-10-11 00:00:00,0.25,200,5,
1953-10-12 00:00:00,0,200,5,
1953-10-13 00:00:00,2.54,200,5,
1953-10-14 00:00:00,6.86,200,5,
1953-10-15 00:00:00,4.06,200,5,
1953-10-16 00:00:00,0,200,5,
1953-10-17 00:00:00,0.76,200,5,
1953-10-19 00:00:00,0,200,5,
1953-10-20 00:00:00,2.54,200,5,
1953-10-27 00:00:00,0,200,5,
1953-10-28 00:00:00,0,200,5,
1953-10-29 00:00:00,0.76,200,5,
1953-10-30 00:00:00,9.4,200,5,
1953-10-31 00:00:00,16.26,200,5,
1953-11-01 00:00:00,0.76,200,5,
1953-11-03 00:00:00,0,200,5,
1953-11-04 00:00:00,0.25,200,5,
1953-11-05 00:00:00,6.35,200,5,
1953-11-06 00:00:00,4.32,200,5,
1953-11-07 00:00:00,0,200,5,
1953-11-08 00:00:00,5.08,200,5,
1953-11-09 00:00:00,7.11,200,5,
1953-11-10 00:00:00,2.03,200,5,
1953-11-11 00:00:00,9.65,200,5,
1953-11-12 00:00:00,4.83,200,5,
1953-11-13 00:00:00,0,200,5,
1953-11-14 00:00:00,0.76,200,5,
1953-11-15 00:00:00,0.51,200,5,
1953-11-22 00:00:00,0,200,5,
1953-11-29 00:00:00,0,200,5,
1953-11-30 00:00:00,0,200,5,
1953-12-01 00:00:00,8.64,200,5,
1953-12-02 00:00:00,14.99,200,5,
1953-12-09 00:00:00,0,200,5,
1953-12-10 00:00:00,0,200,5,
1953-12-11 00:00:00,0.25,200,5,
1953-12-12 00:00:00,15.24,200,5,
1953-12-15 00:00:00,0,200,5,
1953-12-16 00:00:00,15.24,200,5,
1953-12-17 00:00:00,0,200,5,
1953-12-18 00:00:00,7.37,200,5,
1953-12-19 00:00:00,1.78,200,5,
1953-12-21 00:00:00,0,200,5,
1953-12-22 00:00:00,1.02,200,5,
1953-12-23 00:00:00,0,200,5,
1953-12-24 00:00:00,1.02,200,5,
1953-12-25 00:00:00,0.25,200,5,
1953-12-26 00:00:00,0,200,5,
1953-12-27 00:00:00,4.57,200,5,
1954-01-03 00:00:00,0,200,5,
1954-01-05 00:00:00,0,200,5,
1954-01-06 00:00:00,0.25,200,5,
1954-01-07 00:00:00,3.05,200,5,
1954-01-09 00:00:00,0,200,5,
1954-01-10 00:00:00,0.51,200,5,
1954-01-11 00:00:00,0.76,200,5,
1954-01-15 00:00:00,0,200,5,
1954-01-16 00:00:00,4.57,200,5,
1954-01-23 00:00:00,0,200,5,
1954-01-30 00:00:00,0,200,5,
1954-02-03 00:00:00,0,200,5,
1954-02-04 00:00:00,7.62,200,5,
1954-02-05 00:00:00,0.25,200,5,
1954-02-12 00:00:00,0,200,5,
1954-02-18 00:00:00,0,200,5,
1954-02-19 00:00:00,3.3,200,5,
1954-02-20 00:00:00,11.18,200,5,
1954-02-21 00:00:00,0.25,200,5,
1954-02-22 00:00:00,2.29,200,5,
1954-02-27 00:00:00,0,200,5,
1954-02-28 00:00:00,14.99,200,5,
1954-03-01 00:00:00,42.93,200,5,
1954-03-02 00:00:00,7.11,200,5,
1954-03-03 00:00:00,11.94,200,5,
1954-03-04 00:00:00,16,200,5,
1954-03-05 00:00:00,1.78,200,5,
1954-03-06 00:00:00,14.22,200,5,
1954-03-07 00:00:00,66.55,200,5,
1954-03-08 00:00:00,45.72,200,5,
1954-03-09 00:00:00,3.81,200,5,
1954-03-12 00:00:00,0,200,5,
1954-03-13 00:00:00,1.27,200,5,
1954-03-14 00:00:00,2.79,200,5,
1954-03-15 00:00:00,81.03,200,5,
1954-03-20 00:00:00,0,200,5,
1954-03-21 00:00:00,7.62,200,5,
1954-03-22 00:00:00,0,200,5,
1954-03-23 00:00:00,0.51,200,5,
1954-03-24 00:00:00,3.3,200,5,
1954-03-25 00:00:00,1.27,200,5,
1954-03-29 00:00:00,0,200,5,
1954-03-30 00:00:00,1.02,200,5,
1954-03-31 00:00:00,1.78,200,5,
1954-04-01 00:00:00,0,200,5,
1954-04-02 00:00:00,9.65,200,5,
1954-04-07 00:00:00,0,200,5,
1954-04-08 00:00:00,0.76,200,5,
1954-04-10 00:00:00,0,200,5,
1954-04-11 00:00:00,0.76,200,5,
1954-04-12 00:00:00,2.54,200,5,
1954-04-13 00:00:00,0.51,200,5,
1954-04-14 00:00:00,3.56,200,5,
1954-04-15 00:00:00,6.35,200,5,
1954-04-16 00:00:00,0,200,5,
1954-04-17 00:00:00,2.54,200,5,
1954-04-18 00:00:00,1.78,200,5,
1954-04-19 00:00:00,4.32,200,5,
1954-04-20 00:00:00,0,200,5,
1954-04-21 00:00:00,54.61,200,5,
1954-04-22 00:00:00,1.27,200,5,
1954-04-23 00:00:00,0.25,200,5,
1954-04-24 00:00:00,0.76,200,5,
1954-05-01 00:00:00,0,200,5,
1954-05-02 00:00:00,0,200,5,
1954-05-03 00:00:00,2.29,200,5,
1954-05-04 00:00:00,4.32,200,5,
